Id,Label,Eigenvector Centrality,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Clustering Coefficient,Weighted Clustering Coefficient,Strenght
hornet,hornet,0.005538498524374966,23,4.0,2.3945578231292517,37.03327780168782,4,6,10,14.0,8.0,6.0,4.9446203E-4,4.9446203E-4,0.37777779,0.36507937,14.0
worm,worm,0.15740746521237312,4,3.0,2.0476190476190474,268.31443800266396,25,25,50,79.0,39.0,40.0,0.0025712026,0.0025712026,0.3535941,0.27951434,79.0
blackbird,blackbird,0.052165161848757746,11,3.0,2.1564625850340136,22.82827983519107,12,13,25,31.0,16.0,15.0,0.0012856013,0.0012856013,0.44285715,0.2829301,31.0
bluebird,bluebird,0.06529474862405184,11,3.0,2.139455782312925,206.11988442195744,18,21,39,54.0,28.0,26.0,0.0018789558,0.0018789558,0.2689655,0.14035088,54.0
bluejai,bluejai,0.06886308118835185,11,4.0,2.2108843537414966,74.20628235550059,13,18,31,56.0,29.0,27.0,0.0013844937,0.0013844937,0.34387353,0.16577381,56.0
cardin,cardin,0.0708871614443108,11,3.0,2.1530612244897958,94.25333503452366,15,21,36,70.0,38.0,32.0,0.0015822785,0.0015822785,0.35344827,0.22040816,70.0
cockatiel,cockatiel,0.035923528505292894,11,4.0,2.2823129251700682,2.0353746935433796,4,7,11,16.0,8.0,8.0,4.9446203E-4,4.9446203E-4,0.625,0.36875,16.0
crow,crow,0.12147855098540067,11,3.0,2.1462585034013606,307.47078042928536,20,23,43,69.0,34.0,35.0,0.0020767406,0.0020767406,0.29450756,0.17891648,69.0
flea,flea,0.07738757919397767,23,3.0,2.2448979591836733,11.006930842990133,10,9,19,22.0,12.0,10.0,0.0010878164,0.0010878164,0.63071895,0.5530303,22.0
fowl,fowl,0.06951379493356413,14,4.0,2.4285714285714284,0.06461174999770185,6,4,10,12.0,8.0,4.0,6.9224683E-4,6.9224683E-4,0.9444444,0.9351852,12.0
grous,grous,0.08807751325916544,32,4.0,2.2687074829931975,7.980717705250006,10,12,22,36.0,19.0,17.0,0.0010878164,0.0010878164,0.5614035,0.35978836,36.0
gull,gull,0.03787504098105144,11,4.0,2.7551020408163267,16.595317542275488,6,3,9,9.0,6.0,3.0,6.9224683E-4,6.9224683E-4,0.2777778,0.2777778,9.0
heron,heron,0.05488757907360305,11,3.0,2.360544217687075,24.641200640600136,9,7,16,19.0,11.0,8.0,9.889241E-4,9.889241E-4,0.4010989,0.3140351,19.0
manate,manate,0.10008857215060042,33,4.0,2.316326530612245,4.581674648688974,11,11,22,31.0,18.0,13.0,0.0011867088,0.0011867088,0.48947367,0.4546851,31.0
oriol,oriol,0.0350214048994472,11,3.0,2.3095238095238093,13.574072498110631,8,8,16,25.0,14.0,11.0,8.9003163E-4,8.9003163E-4,0.49358973,0.28666666,25.0
partridg,partridg,0.12995999242674275,32,3.0,2.187074829931973,24.793227799915694,13,15,28,38.0,19.0,19.0,0.0013844937,0.0013844937,0.56916994,0.37329435,38.0
peacock,peacock,0.20022665926534028,11,3.0,2.0476190476190474,13.256318237208568,20,17,37,43.0,22.0,21.0,0.0020767406,0.0020767406,0.6688172,0.46705428,43.0
pigeon,pigeon,0.20178759143330569,11,3.0,2.061224489795918,95.10051115729898,24,23,47,68.0,35.0,33.0,0.00247231,0.00247231,0.44950214,0.31361893,68.0
salamand,salamand,0.14754870007187673,4,3.0,2.1462585034013606,27.25410631855486,18,17,35,45.0,23.0,22.0,0.0018789558,0.0018789558,0.52153844,0.28104576,45.0
seagul,seagul,0.05131128966012822,11,3.0,2.2789115646258504,6.238544865473724,8,7,15,18.0,9.0,9.0,8.9003163E-4,8.9003163E-4,0.53296703,0.48015875,18.0
snail,snail,0.15630805592585278,4,3.0,2.0714285714285716,171.21175195106733,18,21,39,52.0,28.0,24.0,0.0018789558,0.0018789558,0.4197861,0.2803644,52.0
sparrow,sparrow,0.11566916627864059,11,3.0,2.1020408163265305,490.56842500214475,19,24,43,78.0,42.0,36.0,0.0019778481,0.0019778481,0.31507936,0.1892552,78.0
stork,stork,0.02888929867868185,11,3.0,2.45578231292517,16.4962805085512,5,6,11,13.0,6.0,7.0,5.933544E-4,5.933544E-4,0.24444444,0.22692308,13.0
tortois,tortois,0.07657399526200254,4,4.0,2.3503401360544216,3.883065513302741,8,6,14,15.0,8.0,7.0,8.9003163E-4,8.9003163E-4,0.6025641,0.5153846,15.0
vultur,vultur,0.04133182624251432,11,3.0,2.3877551020408165,4.033434096706213,7,4,11,12.0,7.0,5.0,7.9113926E-4,7.9113926E-4,0.5777778,0.47500002,12.0
wildanim,wildanim,0.026095939156001953,0,4.0,2.4625850340136055,0.0,2,2,4,4.0,2.0,2.0,2.966772E-4,2.966772E-4,1.0,1.0,4.0
cattl,cattl,0.18018360697939947,5,3.0,2.1530612244897958,10.008183914444958,17,16,33,69.0,35.0,34.0,0.0017800633,0.0017800633,0.67333335,0.35620472,69.0
finch,finch,0.053957665138902225,11,3.0,2.2176870748299318,40.63983658121295,14,14,28,30.0,16.0,14.0,0.001483386,0.001483386,0.37747034,0.25555557,30.0
dove,dove,0.05200539661401663,11,4.0,2.2108843537414966,15.966918454270756,10,13,23,28.0,15.0,13.0,0.0010878164,0.0010878164,0.39181286,0.28733766,28.0
starl,starl,0.006404136767425537,11,4.0,2.493197278911565,3.274632506546643,4,5,9,11.0,6.0,5.0,4.9446203E-4,4.9446203E-4,0.5,0.375,11.0
wren,wren,0.025983202894072497,11,4.0,2.3095238095238093,15.638894957638215,8,11,19,27.0,13.0,14.0,8.9003163E-4,8.9003163E-4,0.36813188,0.17592593,27.0
bluegil,bluegil,0.009964994365052668,28,4.0,2.8741496598639458,31.984593342392895,3,4,7,8.0,4.0,4.0,3.9556963E-4,3.9556963E-4,0.11904762,0.14583334,8.0
sturgeon,sturgeon,0.00315972494071964,28,4.0,3.1462585034013606,10.186226236955685,4,2,6,6.0,4.0,2.0,4.9446203E-4,4.9446203E-4,0.16666667,0.16666667,6.0
goldfinch,goldfinch,0.007992257658230032,11,3.0,2.4285714285714284,3.7116915576771157,5,3,8,9.0,6.0,3.0,5.933544E-4,5.933544E-4,0.3392857,0.34920636,9.0
hummingbird,hummingbird,0.07917281408868455,11,3.0,2.2006802721088436,172.28886425199386,15,15,30,36.0,19.0,17.0,0.0015822785,0.0015822785,0.2770936,0.2854406,36.0
rattlesnak,rattlesnak,0.025614987670024306,9,4.0,2.4115646258503403,9.169701883225367,5,4,9,10.0,5.0,5.0,5.933544E-4,5.933544E-4,0.25,0.25,10.0
marten,marten,0.048162143180237246,24,3.0,2.292517006802721,2.336765138812043,7,9,16,21.0,11.0,10.0,7.9113926E-4,7.9113926E-4,0.63461536,0.33650795,21.0
trout,trout,0.02879801077649305,4,4.0,2.3537414965986394,59.75345366230333,7,7,14,19.0,10.0,9.0,7.9113926E-4,7.9113926E-4,0.25824177,0.3340081,19.0
bunni,bunni,0.1661077436642039,25,3.0,2.1122448979591835,10.041458421468064,17,17,34,44.0,22.0,22.0,0.0017800633,0.0017800633,0.70107526,0.61157024,44.0
crane,crane,0.09298355012042049,14,3.0,2.241496598639456,6.87036051379346,11,10,21,22.0,12.0,10.0,0.0011867088,0.0011867088,0.6078947,0.5511364,22.0
farmanim,farmanim,0.02831862722144326,8,4.0,2.687074829931973,0.0,3,1,4,5.0,3.0,2.0,3.9556963E-4,3.9556963E-4,0.8333333,0.86666673,5.0
ram,ram,0.07024347335724093,8,3.0,2.2891156462585034,0.33910593510365483,7,9,16,22.0,12.0,10.0,7.9113926E-4,7.9113926E-4,0.8787879,0.38484848,22.0
warthog,warthog,0.1764927507657383,17,4.0,2.2176870748299318,28.259600219356074,19,17,36,42.0,23.0,19.0,0.0019778481,0.0019778481,0.5043011,0.35918367,42.0
heifer,heifer,0.040026977517791544,5,4.0,2.431972789115646,0.25182030556673257,5,6,11,16.0,8.0,8.0,5.933544E-4,5.933544E-4,0.78571427,0.35,16.0
rooster,rooster,0.24822514985155256,14,3.0,2.0272108843537415,33.895665159200114,27,28,55,151.0,78.0,73.0,0.0027689873,0.0027689873,0.61538464,0.27121657,151.0
steer,steer,0.09240519531555705,5,3.0,2.1122448979591835,9.148899658614525,11,15,26,41.0,20.0,21.0,0.0011867088,0.0011867088,0.513834,0.44243902,41.0
wallabi,wallabi,0.10698844897931373,9,3.0,2.17687074829932,3.9385408579803958,10,14,24,42.0,22.0,20.0,0.0010878164,0.0010878164,0.5974026,0.38561076,42.0
gecko,gecko,0.07699955596695583,4,4.0,2.2789115646258504,4.221028517095951,9,9,18,22.0,11.0,11.0,9.889241E-4,9.889241E-4,0.59583336,0.44652408,22.0
burro,burro,0.06857754627753188,27,3.0,2.204081632653061,3.0146483425421513,8,14,22,33.0,17.0,16.0,8.9003163E-4,8.9003163E-4,0.5847953,0.33333334,33.0
jackal,jackal,0.15241702459839668,9,4.0,2.3095238095238093,17.85220903273993,18,11,29,50.0,26.0,24.0,0.0018789558,0.0018789558,0.56,0.46107143,50.0
mountainsheep,mountainsheep,0.011687383837841361,17,4.0,2.4115646258503403,3.329757474293582,3,6,9,14.0,7.0,7.0,3.9556963E-4,3.9556963E-4,0.5952381,0.2589286,14.0
ocelot,ocelot,0.23600284486341383,15,3.0,2.0306122448979593,75.40547575608547,26,30,56,85.0,44.0,41.0,0.0026700948,0.0026700948,0.5275362,0.39550802,85.0
yak,yak,0.1788724378631043,5,3.0,2.1122448979591835,9.237597487627948,20,16,36,55.0,28.0,27.0,0.0020767406,0.0020767406,0.6461676,0.5594805,55.0
falcon,falcon,0.04605885466574876,11,3.0,2.306122448979592,3.066881626813123,5,9,14,22.0,11.0,11.0,5.933544E-4,5.933544E-4,0.49242425,0.25874126,22.0
hen,hen,0.11007515042014493,14,3.0,2.1496598639455784,4.519584988160654,12,13,25,44.0,22.0,22.0,0.0012856013,0.0012856013,0.7047619,0.41808712,44.0
housecat,housecat,0.04664375880833987,15,3.0,2.4591836734693877,0.05756578947368421,4,4,8,10.0,5.0,5.0,4.9446203E-4,4.9446203E-4,0.9047619,0.7071429,10.0
salmon,salmon,0.02948297183738355,4,3.0,2.425170068027211,32.314853269552145,4,6,10,14.0,8.0,6.0,4.9446203E-4,4.9446203E-4,0.42222223,0.49603176,14.0
earthworm,earthworm,0.024313610505921412,4,3.0,2.3197278911564627,1.4986608137607673,4,3,7,7.0,4.0,3.0,4.9446203E-4,4.9446203E-4,0.52380955,0.52380955,7.0
dingo,dingo,0.0832544988287122,6,4.0,2.326530612244898,4.024949613589924,9,8,17,22.0,12.0,10.0,9.889241E-4,9.889241E-4,0.48095238,0.36363637,22.0
