Target,Replace
whitetailedd,whitetaild
wildabeast,wildebeest
wildboar,boar
wildebeast,wildebeest
women,woman
wookchuck,woodchuck
yetti,yeti
zebrah,zebra
zzebra,zebra
ardvark,aardvark
angu,angus
beav,beaver
byson,bison
regularbison,bison
boathatsasnak,boa
burrow,burro
calv,calf
cariboo,caribou
chipmpanze,chimp
cimpanze,chimp
chipmuck,chipmunk
chipmunck,chipmunk
crockodil,crocodil
dear,deer
fli,fly
regulargoat,goat
gees,goos
grizzli,grizzlybear
groundsquirel,groundsquirrel
hampster,hamster
hippopotamu,hippo
Holstein,holstein
jackolop,jackelope
Jersei,jersei
regularlion,lion
lizzard,lizard
linx,lynx
manarai,mantarai
monkey,monkei
oppossum,opossum
possum,opossum
orangutang,orangutan
osprey,osprei
oxen,ox
peopl,person
racoon,raccoon
rhesu,rhesusmonkei
rhinocer,rhino
rhinocero,rhino
rhinoceros,rhino
regularsheep,sheep
asnak,snak
snake,snak
squirel,squirrel
tig,tiger
walabi,wallabi
walru,walrus
wolv,wolf
