"","aardvark","allig","alpaca","amphibian","anemon","anim","ant","anteat","antelop","ap","armadillo","ass","baboon","badger","bass","bat","bear","beaver","bee","beetl","bird","bison","blackbear","blackbird","bluebird","bluegil","bluejai","boa","boar","bobcat","brownbear","buffalo","bug","bull","bumblebe","bunni","burro","butterfli","buzzard","calf","camel","canari","cardin","caribou","cat","caterpillar","catfish","cattl","centiped","chameleon","cheetah","chickade","chicken","chimp","chinchilla","chipmunk","clam","cobra","cockatiel","cockatoo","cockroach","colt","coon","cougar","cow","coyot","crab","crane","cricket","crocodil","crow","cub","deer","dingo","dinosaur","doe","dog","dolphin","donkei","dove","dragon","duck","eagl","earthworm","eel","egret","eland","eleph","elk","emu","ermin","ew","falcon","farmanim","fawn","ferret","finch","fish","fisher","flamingo","flea","fly","fowl","fox","frog","gazel","gecko","gerbil","gibbon","gilamonst","giraff","gnat","gnu","goat","goldfinch","goldfish","goos","gopher","gorilla","grasshopp","grizzlybear","groundhog","grous","guineapig","gull","hamster","hare","hawk","hedgehog","heifer","hen","heron","hippo","hog","holstein","hornet","hors","housecat","human","humb","hummingbird","hyena","ibi","iguana","impala","insect","jackal","jackass","jackrabbit","jaguar","javelina","kangaroo","kitten","koala","kodiakbear","ladybug","lamb","lemur","leopard","lion","lizard","llama","lobster","loon","lynx","mallard","mammal","manate","mare","marmoset","marmot","marten","mink","minx","mole","mongoos","monkei","moos","mosquito","moth","mountaingoat","mountainlion","mountainsheep","mous","mule","muled","muski","muskox","muskrat","newt","ocelot","octopus","opossum","orangutan","oriol","osprei","ostrich","otter","owl","ox","panda","panther","parakeet","parrot","partridg","peacock","pelican","penguin","perch","person","pheasant","pig","pigeon","pike","platypus","polarbear","poni","porcupin","porpois","prairiedog","puma","puppi","python","quail","rabbit","raccoon","ram","rat","rattlesnak","raven","redsquirrel","reindeer","reptil","rhino","roadrunn","robin","rodent","rooster","sabl","salamand","salmon","seagul","seal","sealion","shark","sheep","shrew","shrimp","skunk","sloth","snail","snak","sparrow","spider","squid","squirrel","starl","steer","stork","sturgeon","swan","tadpol","tapir","tasmanidevil","tiger","timberwolf","toad","tortois","trout","turkei","turtl","unicorn","vole","vultur","wallabi","walley","walrus","warthog","wasp","waterbuffalo","weasel","whale","whitetaild","wildanim","wildcat","wildebeest","wolf","wolverin","wombat","woodchuck","woodpeck","worm","wren","yak","zebra"
"cub",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"deer",0,2,0,0,0,2,1,0,150,0,1,0,0,6,0,1,159,5,0,0,11,2,0,0,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,2,3,0,0,1,13,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,4,29,22,0,0,0,0,0,1,0,0,0,3,14,0,2,0,0,4,1,0,0,0,0,48,168,2,1,0,0,0,9,4,1,9,1,0,0,0,0,48,4,3,0,0,0,0,8,0,0,11,0,0,2,6,0,0,0,5,0,1,0,1,0,0,1,0,0,0,9,1,0,0,29,0,0,0,0,1,0,1,0,0,0,0,0,1,0,7,1,0,0,0,2,0,3,18,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,12,119,0,0,1,6,0,13,5,2,0,0,4,0,0,0,14,0,0,0,1,1,1,1,0,3,0,0,2,1,0,3,0,0,12,11,0,0,2,1,0,7,0,0,0,1,0,0,50,42,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,0,0,5,0,0,14,0,0,6,0,0,0,31,0,0,0,0,0,0,0,0,9,1,1,0,0,28,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,20,3,0,1,0,0,0,0,8
"dingo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"dinosaur",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dog",2,6,0,0,0,0,1,0,8,3,0,0,0,2,0,0,28,2,1,0,57,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,4,0,0,1467,0,0,2,0,0,1,0,15,0,1,7,0,0,0,0,0,0,0,1,111,4,0,0,0,0,0,0,20,0,0,0,0,0,10,0,0,5,1,0,1,0,0,82,4,3,0,0,0,0,0,4,0,26,0,0,2,0,0,6,2,0,0,5,0,0,26,0,0,12,0,0,0,3,4,0,0,0,0,2,0,6,1,0,0,0,0,0,4,0,0,0,137,1,2,0,0,2,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,8,40,5,9,0,0,2,0,0,0,0,0,0,0,1,1,0,0,14,4,1,0,0,2,0,50,1,0,0,0,1,0,0,0,8,1,0,0,0,0,1,2,0,0,2,2,0,1,0,0,0,1,1,24,1,0,0,1,1,1,0,0,0,4,0,0,44,9,0,12,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,27,0,0,5,0,0,16,1,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,2,0,0,0,0,13
"dolphin",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"donkei",0,3,0,0,0,0,0,0,6,1,0,1,0,1,0,0,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,9,0,0,0,3,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,1,0,5,0,0,0,0,7,1,0,1,0,0,13,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,16,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,45,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,4,0,2,9,1,7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10,2,0,0,1,1,0,3,60,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,13
"dove",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dragon",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"duck",1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,1,15,1,0,1,0,1,0,0,5,0,0,0,2,0,4,0,0,2,4,0,0,0,0,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,0,0,1,0,0,6,0,0,2,0,0,187,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,7,1,0,0,0,1,0,0,0,0,0,0,0,6,2,0,4,1,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,3
"eagl",0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,9,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,3,0,0,0,0,7,0,0,0,1,10,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,4,1,1,4,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"earthworm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egret",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eland",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"eleph",2,11,1,0,0,1,0,2,21,3,0,0,3,1,0,0,30,3,0,0,14,2,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,1,30,0,0,0,14,0,0,0,0,0,11,1,5,5,0,1,0,1,0,1,0,0,0,5,11,5,0,0,0,13,0,0,21,2,0,0,29,2,16,0,0,2,2,0,0,0,0,1,3,2,0,0,0,0,0,1,0,7,0,2,0,1,0,21,9,8,1,1,0,0,362,1,2,12,0,0,1,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,64,1,0,0,25,0,0,1,0,4,0,2,1,1,0,0,0,1,0,25,1,4,0,0,2,2,15,176,4,11,0,0,3,0,0,0,0,0,0,0,0,0,1,0,71,7,0,0,0,1,0,9,4,0,0,1,2,0,1,1,1,4,0,0,3,1,0,0,5,4,1,0,0,0,0,4,0,0,2,10,0,0,0,1,1,1,0,0,1,0,0,0,7,9,0,5,0,0,0,0,0,119,0,0,1,0,1,0,0,0,9,1,0,2,0,0,4,0,0,22,0,0,0,8,0,0,0,0,1,0,2,0,199,0,0,0,0,1,1,0,0,0,1,0,2,1,0,4,2,8,0,0,0,5,8,0,0,1,0,0,0,1,186
"elk",0,2,0,0,0,0,1,2,36,0,0,0,0,2,0,0,42,2,0,0,6,10,1,0,0,0,0,0,0,2,0,27,0,1,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,1,7,2,0,0,0,1,1,0,87,0,0,0,6,0,0,0,0,2,0,0,0,0,0,11,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,6,0,0,0,0,1,0,0,3,0,0,1,1,1,0,4,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,7,0,3,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,161,0,0,3,5,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,5,0,0,0,1,0,0,0,0,8,13,1,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,3,0,0,14,0,0,3,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,6,0,0,0,0,0,0,0,7
"emu",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"ermin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ew",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
